obs_index,CooksD,threshold
4506,0.00017081726865283742,2.117825205296681e-05
4510,4.213453614981671e-05,2.117825205296681e-05
4518,2.351959907255665e-05,2.117825205296681e-05
4549,0.0001241110399106544,2.117825205296681e-05
4569,0.00021785042214156412,2.117825205296681e-05
4574,0.00012507155236363493,2.117825205296681e-05
4584,4.6283754423427e-05,2.117825205296681e-05
4589,2.938125714783091e-05,2.117825205296681e-05
4611,0.0001256696998068933,2.117825205296681e-05
4617,6.759138656046977e-05,2.117825205296681e-05
4631,0.00013671923509526245,2.117825205296681e-05
4652,2.512451864044668e-05,2.117825205296681e-05
4655,5.557518086421797e-05,2.117825205296681e-05
4666,2.4383433084747728e-05,2.117825205296681e-05
4691,9.511377315313016e-05,2.117825205296681e-05
4692,6.309007832583015e-05,2.117825205296681e-05
